names,lat,lon
MOOLOOLABA_2,-26.68,153.13
VUNGTAU,10.33,107.07
CHARCHANGA,22.22,91.05
POINTE_DES_GALETS,-20.93,55.29
WHITBY,54.49,-0.61
PORT_STANVAC,-35.11,138.47
LAOHUTAN,38.87,121.68
NASE_III,28.5,129.5
MAIZURU_III,35.45,135.32
CUTLER_II,44.64,-67.3
LEITH_II,55.99,-3.18
GUNSAN,35.98,126.56
CHOSHI-GYOKO,35.74,140.86
TOKYO_III,35.65,139.77
GEOMUNDO,34.03,127.31
PORTLAND,-38.34,141.61
NEWHAVEN,50.78,0.06
KING_BAY,-20.62,116.75
PORT_GILES,-35.02,137.77
ROOMPOT_BUITEN,51.62,3.68
KOCHI_III,33.5,133.57
WANDO,34.32,126.76
SHUTE_HARBOUR_2,-20.28,148.78
PUERTO_ARMUELLES_B,8.27,-82.87
HAMADA_II,34.9,132.07
IZUHARA_II,34.2,129.29
TAPPI,41.24,140.38
CHUJADO,33.96,126.3
TANJUNG_GELANG,3.98,103.43
TAURANGA,-37.64,176.18
PELABUHAN_KELANG,3.05,101.36
CENDERING,5.26,103.19
TANJUNG_KELING,2.21,102.15
LUMUT,4.24,100.61
PULAU_PINANG,5.42,100.35
YOSIOKA,41.45,140.25
RIMOUSKI,48.48,-68.52
ZANZIBAR,-6.15,39.18
PUERTO_SOBERANIA,-62.48,-59.63
SEOGWIPO,33.24,126.56
WIDO,35.62,126.3
MOURILYAN_HARBOUR,-17.58,146.08
LUCINDA,-18.52,146.38
ONSLOW,-21.65,115.13
CROMER,52.93,1.3
CHERRY_POINT,48.86,-122.76
SAND_POINT,55.34,-160.5
CHESAPEAKE_BAY_BR. TUN.,36.97,-76.11
DUCK_PIER_OUTSIDE,36.18,-75.75
BERGEN_POINT,40.64,-74.14
CLEARWATER_BEACH,27.98,-82.83
N. SPIT,40.77,-124.22
PORT_ORFORD,42.74,-124.5
PANAMA_CITY,30.15,-85.67
PORT_CHALMERS,-45.81,170.62
JUAN_FERNANDEZ-C,-33.64,-78.83
BALTRA-B,-0.43,-90.28
ISHIGAKI_II,24.33,124.16
RODRIGUES_IS,-19.67,63.42
PORT_LOUIS_II,-20.15,57.5
QUARRY_BAY,22.29,114.21
BORYEONG,36.41,126.49
PULAU_LANGKAWI,6.43,99.76
KUKUP,1.33,103.44
PULAU_TIOMAN,2.81,104.14
MENTES/IZMIR,38.43,26.72
ANTALYA_II,36.83,30.62
LAKE_WORTH_PIER,26.61,-80.03
ANHEUNG,36.67,126.13
MILFORD_HAVEN,51.71,-5.05
VACA_KEY,24.71,-81.11
TANJUNG_SEDILI,1.93,104.11
GETING,6.23,102.11
GOLD_COAST_SEAWAY_2,-27.95,153.42
SUCURAJ,43.13,17.2
GAN_II,-0.68,73.15
SURIGAO,9.78,125.5
SAN_JOSE,12.33,121.08
NAN_SHA,9.55,112.88
FISHGUARD_II,52.01,-4.98
KOTA_KINABALU,5.98,116.07
TAWAU,4.23,117.88
MARSAXLOKK  ,35.82,14.53
XI_SHA,16.83,112.33
TANJONG_PAGAR,1.27,103.85
LES_SABLES_D OLONNE,46.5,-1.79
TRONDHEIM_2,63.44,10.39
TURTLE_HEAD,-10.52,142.21
NAPIER,-39.48,176.92
SAN_FELIX,-26.29,-80.11
MALE-B,4.18,73.53
HINKLEY_POINT,51.21,-3.13
VIKER,59.04,10.95
ROSSLYN_BAY,-23.16,150.79
HILLARYS,-31.83,115.74
EXMOUTH,-21.95,114.14
L'ESTARTIT,42.05,3.21
ISLAY,55.63,-6.19
WEYMOUTH,50.61,-2.45
KINLOCHBERVIE,58.46,-5.05
ANABAR,73.22,113.5
POINTE-A-PITRE,16.22,-61.53
TAKAMATSU_II,34.35,134.06
KOBE_II,34.68,135.19
KO_MATTAPHON,10.45,99.25
PORT_ERIN,54.09,-4.77
WORKINGTON,54.65,-3.57
ST_HELIER,49.18,-2.12
STANLEY_II,-51.69,-57.82
HADERA,32.47,34.86
BECANCOUR,46.4,-72.38
WINTER_HARBOUR,50.52,-128.03
NOME,64.5,-165.43
BOUCAU,43.53,-1.51
LAS_PALMAS_D,28.14,-15.41
TENERIFE,28.48,-16.24
BETIO,1.37,172.93
LAUTOKA,-17.6,177.44
BILBAO,43.35,-3.05
SANTANDER_III,43.46,-3.79
LA_CORUNA_III,43.36,-8.39
BONANZA,36.8,-6.34
MALAGA_II,36.71,-4.42
BARCELONA,41.34,2.17
TEJN,55.25,14.84
VALENCIA,39.44,-0.31
DAKAR_2,14.68,-17.42
SHIMONOSEKI_III,33.92,130.93
BINTULU,3.26,113.06
SANDAKAN,5.81,118.07
SABINE_PASS_NORTH,29.73,-93.87
LORNE,-38.55,143.99
MAJURO-C,7.11,171.37
FUNAFUTI_B,-8.5,179.2
APIA_B,-13.83,-171.76
PORT_VILA_B,-17.76,168.31
NUKU'ALOFA_B,-21.14,-175.18
RAROTONGA_B,-21.2,-159.78
NAURU-B,-0.53,166.91
POINT_LA_RUE,-4.67,55.53
KERGUELEN,-49.35,70.26
LLANDUDNO,53.33,-3.83
PRUDHOE_BAY,70.4,-148.53
VIRGINIA_KEY,25.73,-80.16
ZADAR,44.12,15.23
LOMBRUM,-2.04,147.37
HONIARA-B,-9.43,159.96
PORTRUSH,55.21,-6.66
GIJON_II,43.56,-5.7
LAHAT_DATU,5.02,118.35
BOURNEMOUTH,50.71,-1.87
LABUAN_2,5.27,115.25
HUELVA,37.13,-6.83
MASIRAH,20.68,58.87
TAI_MIU_WAN,22.27,114.29
PALMA_DE_MALLORCA,39.55,2.64
TUAS,1.28,103.67
WEST_COAST,1.3,103.77
WEST_TUAS,1.34,103.63
VILLAGARCIA,42.6,-8.77
VIGO_II,42.24,-8.73
SHEK_PIK,22.22,113.89
CORPUS_CHRISTI,27.58,-97.22
CABO_CRUZ,19.83,-77.73
PALMEIRA,16.75,-22.98
PORT_BLOC,45.57,-1.06
LE_CROUESTY,47.54,-2.9
HUPO,36.68,129.45
POHNPEI_C,6.98,158.2
CASILDA_II,21.75,-79.99
BUGRINO,68.8,49.33
MYS_PIKSHUEVA,69.55,32.43
POLYARNIY,69.2,33.48
TERIBERKA,69.2,35.12
PORT_ALMA,-23.58,150.87
URANGAN_II,-25.3,152.92
BOWEN_II,-20.02,148.25
KALIX,65.7,23.1
SKAGSUDDE,63.19,19.01
FORSMARK,60.41,18.21
MARVIKEN,58.55,16.84
VISBY,57.64,18.28
OSKARSHAMN,57.27,16.48
SIMRISHAMN,55.56,14.36
SKANOR,55.42,12.83
BARSEBACK,55.76,12.9
VIKEN,56.14,12.58
RINGHALS,57.25,12.11
STENUNGSUND,58.09,11.83
KUNGSVIK,59.0,11.13
TRIDENT_PIER,28.41,-80.59
ARENA_COVE,38.91,-123.71
SANTA_BARBARA,34.41,-119.69
PORT_ANGELES,48.12,-123.44
KAWAIHAE,20.04,-155.83
GOTEBORG-RINGON,57.72,11.97
MOMBASA_II,-4.07,39.65
LAMU_B,-2.27,40.9
BAY_WAVELAND_YACHT_CLUB_II,30.33,-89.33
IQUIQUE_II,-20.2,-70.15
CORRAL_II,-39.88,-73.42
PUNTA_ARENAS_II,-53.12,-70.86
ANCUD,-41.87,-73.83
OCEAN_CITY_INLET,38.33,-75.09
CAPE_HATTERAS,35.22,-75.64
BEAUFORT,34.72,-76.67
BRUNSWICK_HEADS,-28.54,153.55
COFFS_HARBOUR_III,-30.3,153.15
JERVIS_BAY_II,-35.12,150.71
PORT_MACQUARIE,-31.43,152.91
TWEED_HEADS,-28.17,153.55
PORT_STEPHENS,-32.71,152.18
KINGS_POINT,40.81,-73.77
TOLCHESTER_BEACH,39.21,-76.25
LEWISETTA,37.99,-76.47
OREGON_INLET_MARINA,35.8,-75.55
REDWOOD_CITY,37.51,-122.21
PORT_CHICAGO,38.05,-122.04
SUVA-B,-18.13,178.43
SYDNEY_PORT_JACKSON,-33.83,151.26
